ID,title,descr,author_ID,genre_ID,stock,price,currency_code,createdAt,createdBy,modifiedAt,modifiedBy
16068783-d581-48c4-a8f8-967c52046076,title-16068783,descr-16068783,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,93,72.23,607,2020-05-22T22:00:00.000Z,createdBy.9ker3@example.org,2004-05-08T22:00:00.000Z,modifiedBy.9ker3@example.net
16068784-9def-4486-9e3d-57a42af2be92,title-16068784,descr-16068784,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,69,39.93,607,2009-11-28T22:00:00.000Z,createdBy.9ker4@example.org,2011-10-21T22:00:00.000Z,modifiedBy.9ker4@example.net
16068785-1393-4ae7-b243-1759dce204d5,title-16068785,descr-16068785,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,63,78.13,607,2002-01-02T22:00:00.000Z,createdBy.9ker5@example.net,2005-11-17T22:00:00.000Z,modifiedBy.9ker5@example.com
16068786-0011-4970-8e74-74ab89a81564,title-16068786,descr-16068786,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,4,71.93,607,2020-04-19T22:00:00.000Z,createdBy.9ker6@example.com,2002-05-14T22:00:00.000Z,modifiedBy.9ker6@example.net
16068787-5002-45d4-bd13-36321ef5e20e,title-16068787,descr-16068787,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,50,61.02,607,2023-02-21T22:00:00.000Z,createdBy.9ker7@example.org,2012-07-27T22:00:00.000Z,modifiedBy.9ker7@example.com
16068788-25f2-403b-982d-e6b45c1c070d,title-16068788,descr-16068788,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,24,61.83,607,2014-05-20T22:00:00.000Z,createdBy.9ker8@example.org,2013-06-08T22:00:00.000Z,modifiedBy.9ker8@example.net
16068789-77ac-408f-ad28-ef54904923df,title-16068789,descr-16068789,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,82,21.8,607,2003-06-27T22:00:00.000Z,createdBy.9ker9@example.com,2005-01-10T22:00:00.000Z,modifiedBy.9ker9@example.com
16068790-d6e0-40c0-93f9-8f6a0f4c13aa,title-16068790,descr-16068790,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,90,46.82,607,2011-08-30T22:00:00.000Z,createdBy.9kera@example.net,2010-04-15T22:00:00.000Z,modifiedBy.9kera@example.net
16068791-c2ed-4192-a2d2-d8b388476e2f,title-16068791,descr-16068791,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,83,84.66,607,2020-08-04T22:00:00.000Z,createdBy.9kerb@example.com,2016-05-19T22:00:00.000Z,modifiedBy.9kerb@example.com
16068792-1f29-4bfe-8d2b-621221e1757f,title-16068792,descr-16068792,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,15,40.75,607,2016-07-21T22:00:00.000Z,createdBy.9kerc@example.net,2005-11-26T22:00:00.000Z,modifiedBy.9kerc@example.com
16068793-0259-40e4-b147-4d543388ffda,title-16068793,descr-16068793,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,6,68.75,607,2008-04-11T22:00:00.000Z,createdBy.9kerd@example.com,2002-06-15T22:00:00.000Z,modifiedBy.9kerd@example.org
16068794-5c07-4382-8c8a-72a7d4b3dba0,title-16068794,descr-16068794,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,23,76.15,607,2002-07-22T22:00:00.000Z,createdBy.9kere@example.org,2006-06-17T22:00:00.000Z,modifiedBy.9kere@example.com
