ID,locale,title,descr
30192811,ar,title-23073062,descr-23073062
30192811,ro,title-23073063,descr-23073063
30192812,ru,title-30271925,descr-30271925
30192812,de,title-30271926,descr-30271926
30192813,pl,title-26986354,descr-26986354
30192813,nl,title-26986355,descr-26986355
30192814,fi,title-11093819,descr-11093819
30192814,hu,title-11093820,descr-11093820
30192815,it,title-23643252,descr-23643252
30192815,th,title-23643253,descr-23643253
30192816,pl,title-19865181,descr-19865181
30192816,ro,title-19865182,descr-19865182
30192817,pt,title-8015682,descr-8015682
30192817,zh,title-8015683,descr-8015683
30192818,hu,title-19986223,descr-19986223
30192818,ru,title-19986224,descr-19986224
30192819,ms,title-30560268,descr-30560268
30192819,en,title-30560269,descr-30560269
30192820,it,title-13827190,descr-13827190
30192820,ru,title-13827191,descr-13827191
30192821,da,title-9278574,descr-9278574
30192821,de,title-9278575,descr-9278575
30192822,zh,title-10866395,descr-10866395
30192822,ro,title-10866396,descr-10866396
30192823,cs,title-22790250,descr-22790250
30192823,it,title-22790251,descr-22790251
30192824,de,title-28600154,descr-28600154
30192824,th,title-28600155,descr-28600155
30192825,zh,title-26361944,descr-26361944
30192825,ru,title-26361945,descr-26361945
30192826,ja,title-16443928,descr-16443928
30192826,zh,title-16443929,descr-16443929
30192827,fi,title-24115646,descr-24115646
30192827,hu,title-24115647,descr-24115647
30192828,hu,title-21254317,descr-21254317
30192828,de,title-21254318,descr-21254318
30192829,zh,title-3446578,descr-3446578
30192829,nl,title-3446579,descr-3446579
30192830,ro,title-5093467,descr-5093467
30192830,es,title-5093468,descr-5093468
30192831,pl,title-15910129,descr-15910129
30192831,sv,title-15910130,descr-15910130
30192832,ja,title-24840432,descr-24840432
30192832,ar,title-24840433,descr-24840433
30192833,ko,title-31136670,descr-31136670
30192834,en,title-462575,descr-462575
30192834,de,title-462576,descr-462576
30192835,da,title-17890698,descr-17890698
30192835,es,title-17890699,descr-17890699
30192836,ro,title-20964732,descr-20964732
30192836,ru,title-20964733,descr-20964733
30192837,ru,title-25655307,descr-25655307
30192837,hu,title-25655308,descr-25655308
30192838,de,title-24390159,descr-24390159
30192838,da,title-24390160,descr-24390160
30192839,en,title-18382732,descr-18382732
30192839,es,title-18382733,descr-18382733
30192840,zh,title-18596959,descr-18596959
30192840,en,title-18596960,descr-18596960
