ID,parent_ID,name,descr
10340962,10340962,genre-10340962,descr-10340962
23841369,23841369,genre-23841369,descr-23841369
23841370,23841370,genre-23841370,descr-23841370
23841371,23841371,genre-23841371,descr-23841371
23841372,23841372,genre-23841372,descr-23841372
23841373,23841373,genre-23841373,descr-23841373
23841374,23841374,genre-23841374,descr-23841374
23841375,23841375,genre-23841375,descr-23841375
23841376,23841376,genre-23841376,descr-23841376
23841377,23841377,genre-23841377,descr-23841377
23841378,23841378,genre-23841378,descr-23841378
23841379,23841379,genre-23841379,descr-23841379
23841380,23841380,genre-23841380,descr-23841380
23841381,23841381,genre-23841381,descr-23841381
23841382,23841382,genre-23841382,descr-23841382
23841383,23841383,genre-23841383,descr-23841383
23841384,23841384,genre-23841384,descr-23841384
23841385,23841385,genre-23841385,descr-23841385
23841386,23841386,genre-23841386,descr-23841386
23841387,23841387,genre-23841387,descr-23841387
23841388,23841388,genre-23841388,descr-23841388
23841389,23841389,genre-23841389,descr-23841389
23841390,23841390,genre-23841390,descr-23841390
23841391,23841391,genre-23841391,descr-23841391
23841392,23841392,genre-23841392,descr-23841392
23841393,23841393,genre-23841393,descr-23841393
23841394,23841394,genre-23841394,descr-23841394
23841395,23841395,genre-23841395,descr-23841395
23841396,23841396,genre-23841396,descr-23841396
23841397,23841397,genre-23841397,descr-23841397
