ID,locale,name,descr
10340962,ko,name-15347916,descr-15347916
10340962,fi,name-15347917,descr-15347917
23841369,ru,name-20400553,descr-20400553
23841369,nl,name-20400554,descr-20400554
23841370,ro,name-14128925,descr-14128925
23841370,zh,name-14128926,descr-14128926
23841371,ar,name-28859317,descr-28859317
23841371,ms,name-28859318,descr-28859318
23841372,hu,name-15152775,descr-15152775
23841372,zh,name-15152776,descr-15152776
23841373,de,name-8279621,descr-8279621
23841373,it,name-8279622,descr-8279622
23841374,nl,name-24069592,descr-24069592
23841374,sv,name-24069593,descr-24069593
23841375,it,name-26090434,descr-26090434
23841375,ms,name-26090435,descr-26090435
23841376,cs,name-19570046,descr-19570046
23841376,de,name-19570047,descr-19570047
23841377,fi,name-8978075,descr-8978075
23841377,ro,name-8978076,descr-8978076
23841378,it,name-30289160,descr-30289160
23841378,es,name-30289161,descr-30289161
23841379,cs,name-12186385,descr-12186385
23841379,ru,name-12186386,descr-12186386
23841380,tr,name-5807134,descr-5807134
23841380,sv,name-5807135,descr-5807135
23841381,es,name-2491613,descr-2491613
23841382,ru,name-11218076,descr-11218076
23841382,sv,name-11218077,descr-11218077
23841383,es,name-9840955,descr-9840955
23841383,th,name-9840956,descr-9840956
23841384,pt,name-7025577,descr-7025577
23841384,ro,name-7025578,descr-7025578
23841385,th,name-12132215,descr-12132215
23841385,pl,name-12132216,descr-12132216
23841386,ja,name-30063794,descr-30063794
23841386,zh,name-30063795,descr-30063795
23841387,ms,name-6967315,descr-6967315
23841387,da,name-6967316,descr-6967316
23841388,ro,name-21291432,descr-21291432
23841388,de,name-21291433,descr-21291433
23841389,cs,name-13146142,descr-13146142
23841389,da,name-13146143,descr-13146143
23841390,it,name-22521815,descr-22521815
23841390,sv,name-22521816,descr-22521816
23841391,pt,name-8256140,descr-8256140
23841391,fr,name-8256141,descr-8256141
23841392,ro,name-30714626,descr-30714626
23841392,ko,name-30714627,descr-30714627
23841393,en,name-27429147,descr-27429147
23841393,nl,name-27429148,descr-27429148
23841394,ms,name-23607657,descr-23607657
23841394,it,name-23607658,descr-23607658
23841395,hu,name-25948860,descr-25948860
23841395,th,name-25948861,descr-25948861
23841396,nl,name-10687358,descr-10687358
23841396,tr,name-10687359,descr-10687359
23841397,th,name-28300651,descr-28300651
23841397,nl,name-28300652,descr-28300652
