ID,createdAt,bookTitle,recordedStock,triggeredBy
3882802e-76af-4234-af41-1f53f03cc6b0,2012-09-16T22:00:00.000Z,bookTitle-3882802,91,triggeredBy-3882802
38828035-7f5e-4800-8249-9f3d39c71eed,2017-05-26T22:00:00.000Z,bookTitle-3882803,84,triggeredBy-3882803
38828040-eac0-42eb-a078-56bbf51ee4dc,2005-01-30T22:00:00.000Z,bookTitle-3882804,33,triggeredBy-3882804
38828058-9f33-4f4b-971d-90125e6faa3d,2016-11-04T22:00:00.000Z,bookTitle-3882805,26,triggeredBy-3882805
3882806b-f98e-4790-8b54-33d9bc940f7b,2021-08-13T22:00:00.000Z,bookTitle-3882806,34,triggeredBy-3882806
3882807f-3ddf-4e55-95b9-d18dea3b9863,2004-03-09T22:00:00.000Z,bookTitle-3882807,90,triggeredBy-3882807
38828080-5b37-4f99-8039-f7e0fe57e0fd,2023-01-20T22:00:00.000Z,bookTitle-3882808,47,triggeredBy-3882808
3882809d-9b50-4714-aa4c-b51e98e22cf0,2020-05-22T22:00:00.000Z,bookTitle-3882809,20,triggeredBy-3882809
3882810d-5bf6-473f-9f40-0747af071337,2010-08-31T22:00:00.000Z,bookTitle-3882810,70,triggeredBy-3882810
3882811c-83b7-4e27-9f23-bcbee9a82bc9,2018-01-30T22:00:00.000Z,bookTitle-3882811,19,triggeredBy-3882811
38828128-39da-4d61-99f5-05d8692a034e,2000-04-14T22:00:00.000Z,bookTitle-3882812,88,triggeredBy-3882812
38828132-8878-42a8-9300-ad4e288c0b23,2021-10-13T22:00:00.000Z,bookTitle-3882813,38,triggeredBy-3882813
3882814e-3476-4329-8e8a-ce249a145f48,2020-01-03T22:00:00.000Z,bookTitle-3882814,51,triggeredBy-3882814
3882815d-e83a-44a0-8450-b77df792ef29,2019-02-05T22:00:00.000Z,bookTitle-3882815,26,triggeredBy-3882815
38828160-ee20-47bc-884f-e77b81e4493f,2020-04-23T22:00:00.000Z,bookTitle-3882816,43,triggeredBy-3882816
3882817e-eaf1-4d1a-8610-98da772807a3,2020-12-10T22:00:00.000Z,bookTitle-3882817,71,triggeredBy-3882817
3882818d-0f3a-46d2-8608-bf496c9e16dd,2016-10-04T22:00:00.000Z,bookTitle-3882818,35,triggeredBy-3882818
3882819b-2e74-4045-babe-0b263a3feadf,2002-04-14T22:00:00.000Z,bookTitle-3882819,81,triggeredBy-3882819
38828205-0112-44be-ac43-5fd7b8fc4e2f,2006-07-15T22:00:00.000Z,bookTitle-3882820,61,triggeredBy-3882820
3882821d-94aa-46db-8deb-9d3b6a7a5476,2002-12-28T22:00:00.000Z,bookTitle-3882821,81,triggeredBy-3882821
3882822c-d359-4855-b985-487b10bf8559,2004-10-11T22:00:00.000Z,bookTitle-3882822,27,triggeredBy-3882822
3882823b-121f-4e0a-a9a2-2b383e0dbbae,2002-10-04T22:00:00.000Z,bookTitle-3882823,37,triggeredBy-3882823
38828240-9d99-4eb6-bb7b-b3d7c73ab292,2012-02-07T22:00:00.000Z,bookTitle-3882824,67,triggeredBy-3882824
3882825c-5d74-46be-9f17-c3248414a9b2,2017-03-23T22:00:00.000Z,bookTitle-3882825,88,triggeredBy-3882825
38828267-aa13-4b15-bd7d-3e643cfb556a,2000-07-24T22:00:00.000Z,bookTitle-3882826,88,triggeredBy-3882826
3882827d-f5d4-4242-91c7-6dd0bc3e403a,2012-10-29T22:00:00.000Z,bookTitle-3882827,75,triggeredBy-3882827
3882828b-1039-4052-818f-805b57ca66d2,2020-05-16T22:00:00.000Z,bookTitle-3882828,80,triggeredBy-3882828
3882829d-cc89-45d0-9567-b93ed57d9945,2009-02-03T22:00:00.000Z,bookTitle-3882829,100,triggeredBy-3882829
3882830b-ee9c-4d73-9804-44d2aea2b0a5,2011-03-22T22:00:00.000Z,bookTitle-3882830,57,triggeredBy-3882830
38828311-d9de-4f27-bd7c-46425faae52d,2000-06-15T22:00:00.000Z,bookTitle-3882831,47,triggeredBy-3882831
38828322-7e91-4466-9369-29a254f8a2c8,2013-01-13T22:00:00.000Z,bookTitle-3882832,18,triggeredBy-3882832
38828339-fb0a-435f-b148-275fac94c995,2020-07-22T22:00:00.000Z,bookTitle-3882833,84,triggeredBy-3882833
3882834a-7391-4220-bd8f-c1f0f5c76f5c,2005-08-01T22:00:00.000Z,bookTitle-3882834,71,triggeredBy-3882834
3882835c-6f68-4152-8f8a-3de7f7e49f36,2012-12-16T22:00:00.000Z,bookTitle-3882835,50,triggeredBy-3882835
38828361-b2b3-4b74-bf65-ef17f392e977,2005-04-17T22:00:00.000Z,bookTitle-3882836,96,triggeredBy-3882836
38828373-fff9-4813-a076-8738b68d5b7d,2001-05-05T22:00:00.000Z,bookTitle-3882837,88,triggeredBy-3882837
38828385-19f3-4727-ac29-839d3aa3e8d9,2013-11-21T22:00:00.000Z,bookTitle-3882838,74,triggeredBy-3882838
38828398-e7ac-4fad-9d01-d69e51a0d270,2015-10-01T22:00:00.000Z,bookTitle-3882839,9,triggeredBy-3882839
38828409-a50d-41a5-b46f-032d6cbf2934,2023-03-04T22:00:00.000Z,bookTitle-3882840,45,triggeredBy-3882840
38828416-6f05-447b-be67-aa4af158c7bf,2020-06-29T22:00:00.000Z,bookTitle-3882841,76,triggeredBy-3882841
