code,symbol,minorUnit,name,descr
393,18393,48,name-8118393,descr-8118393
437,52437,78,name-18152437,descr-18152437
438,52438,14,name-18152438,descr-18152438
439,52439,30,name-18152439,descr-18152439
440,52440,69,name-18152440,descr-18152440
441,52441,64,name-18152441,descr-18152441
442,52442,71,name-18152442,descr-18152442
443,52443,88,name-18152443,descr-18152443
444,52444,81,name-18152444,descr-18152444
445,52445,89,name-18152445,descr-18152445
446,52446,77,name-18152446,descr-18152446
447,52447,54,name-18152447,descr-18152447
448,52448,81,name-18152448,descr-18152448
449,52449,38,name-18152449,descr-18152449
450,52450,38,name-18152450,descr-18152450
451,52451,28,name-18152451,descr-18152451
452,52452,12,name-18152452,descr-18152452
453,52453,22,name-18152453,descr-18152453
454,52454,52,name-18152454,descr-18152454
455,52455,83,name-18152455,descr-18152455
456,52456,58,name-18152456,descr-18152456
457,52457,26,name-18152457,descr-18152457
458,52458,35,name-18152458,descr-18152458
459,52459,35,name-18152459,descr-18152459
460,52460,23,name-18152460,descr-18152460
461,52461,71,name-18152461,descr-18152461
462,52462,19,name-18152462,descr-18152462
463,52463,85,name-18152463,descr-18152463
464,52464,37,name-18152464,descr-18152464
465,52465,12,name-18152465,descr-18152465
