code,locale,name,descr
393,ko,name-25918066,descr-25918066
393,da,name-25918067,descr-25918067
437,fr,name-24235045,descr-24235045
437,th,name-24235046,descr-24235046
438,es,name-10863666,descr-10863666
439,sv,name-5460307,descr-5460307
439,pl,name-5460308,descr-5460308
440,fr,name-7568073,descr-7568073
440,ja,name-7568074,descr-7568074
441,en,name-27487097,descr-27487097
441,ms,name-27487098,descr-27487098
442,da,name-16558747,descr-16558747
442,ja,name-16558748,descr-16558748
443,de,name-10288935,descr-10288935
443,da,name-10288936,descr-10288936
444,cs,name-20081560,descr-20081560
444,nl,name-20081561,descr-20081561
445,es,name-17413175,descr-17413175
445,hu,name-17413176,descr-17413176
446,pt,name-4963019,descr-4963019
446,hu,name-4963020,descr-4963020
447,ms,name-17073055,descr-17073055
447,th,name-17073056,descr-17073056
448,ro,name-5516009,descr-5516009
449,pt,name-26091984,descr-26091984
449,ko,name-26091985,descr-26091985
450,fr,name-19336186,descr-19336186
450,pt,name-19336187,descr-19336187
451,ru,name-21494310,descr-21494310
451,da,name-21494311,descr-21494311
452,pl,name-19357119,descr-19357119
452,de,name-19357120,descr-19357120
453,fr,name-26380309,descr-26380309
453,ms,name-26380310,descr-26380310
454,de,name-12812201,descr-12812201
454,ja,name-12812202,descr-12812202
455,cs,name-23932618,descr-23932618
455,pt,name-23932619,descr-23932619
456,es,name-8568233,descr-8568233
456,ms,name-8568234,descr-8568234
457,ja,name-2411441,descr-2411441
457,ms,name-2411442,descr-2411442
458,nl,name-29089254,descr-29089254
458,ar,name-29089255,descr-29089255
459,fr,name-2607555,descr-2607555
459,tr,name-2607556,descr-2607556
460,pl,name-11642501,descr-11642501
460,hu,name-11642502,descr-11642502
461,ar,name-10941720,descr-10941720
461,ko,name-10941721,descr-10941721
462,ms,name-15987312,descr-15987312
462,fr,name-15987313,descr-15987313
463,nl,name-11325921,descr-11325921
463,pt,name-11325922,descr-11325922
464,pt,name-9989432,descr-9989432
464,es,name-9989433,descr-9989433
465,ja,name-28846261,descr-28846261
465,hu,name-28846262,descr-28846262
